the, 32.0, 5.970149253731343%
a, 21.0, 3.9179104477611943%
of, 14.0, 2.6119402985074625%
to, 13.0, 2.425373134328358%
that, 10.0, 1.8656716417910446%
it, 9.0, 1.6791044776119404%
and, 9.0, 1.6791044776119404%
opportunity, 8.0, 1.4925373134328357%
rover, 8.0, 1.4925373134328357%
for, 8.0, 1.4925373134328357%
was, 8.0, 1.4925373134328357%
nasa, 7.0, 1.3059701492537312%
in, 6.0, 1.1194029850746268%
on, 6.0, 1.1194029850746268%
as, 5.0, 0.9328358208955223%
s, 5.0, 0.9328358208955223%
mars, 5.0, 0.9328358208955223%
mission, 4.0, 0.7462686567164178%
at, 4.0, 0.7462686567164178%
but, 4.0, 0.7462686567164178%
last, 4.0, 0.7462686567164178%
than, 4.0, 0.7462686567164178%
said, 4.0, 0.7462686567164178%
would, 3.0, 0.5597014925373134%
an, 3.0, 0.5597014925373134%
had, 3.0, 0.5597014925373134%
has, 3.0, 0.5597014925373134%
dust, 3.0, 0.5597014925373134%
its, 3.0, 0.5597014925373134%
not, 3.0, 0.5597014925373134%
with, 3.0, 0.5597014925373134%
there, 3.0, 0.5597014925373134%
is, 3.0, 0.5597014925373134%
more, 3.0, 0.5597014925373134%
from, 3.0, 0.5597014925373134%
were, 3.0, 0.5597014925373134%
rovers, 2.0, 0.3731343283582089%
science, 2.0, 0.3731343283582089%
panels, 2.0, 0.3731343283582089%
another, 2.0, 0.3731343283582089%
storm, 2.0, 0.3731343283582089%
one, 2.0, 0.3731343283582089%
i, 2.0, 0.3731343283582089%
people, 2.0, 0.3731343283582089%
up, 2.0, 0.3731343283582089%
which, 2.0, 0.3731343283582089%
planet, 2.0, 0.3731343283582089%
announced, 2.0, 0.3731343283582089%
harrison, 2.0, 0.3731343283582089%
some, 2.0, 0.3731343283582089%
just, 2.0, 0.3731343283582089%
during, 2.0, 0.3731343283582089%
years, 2.0, 0.3731343283582089%
likely, 2.0, 0.3731343283582089%
surface, 2.0, 0.3731343283582089%
solar, 2.0, 0.3731343283582089%
most, 2.0, 0.3731343283582089%
scientists, 2.0, 0.3731343283582089%
been, 1.0, 0.18656716417910446%
half, 1.0, 0.18656716417910446%
awake, 1.0, 0.18656716417910446%
lander, 1.0, 0.18656716417910446%
robot, 1.0, 0.18656716417910446%
giant, 1.0, 0.18656716417910446%
let, 1.0, 0.18656716417910446%
because, 1.0, 0.18656716417910446%
resonate, 1.0, 0.18656716417910446%
you, 1.0, 0.18656716417910446%
glimpses, 1.0, 0.18656716417910446%
inevitable, 1.0, 0.18656716417910446%
14, 1.0, 0.18656716417910446%
broke, 1.0, 0.18656716417910446%
past, 1.0, 0.18656716417910446%
mile, 1.0, 0.18656716417910446%
remain, 1.0, 0.18656716417910446%
expected, 1.0, 0.18656716417910446%
night, 1.0, 0.18656716417910446%
am, 1.0, 0.18656716417910446%
astonishing, 1.0, 0.18656716417910446%
planning, 1.0, 0.18656716417910446%
mystery, 1.0, 0.18656716417910446%
size, 1.0, 0.18656716417910446%
photographs, 1.0, 0.18656716417910446%
trying, 1.0, 0.18656716417910446%
dealt, 1.0, 0.18656716417910446%
much, 1.0, 0.18656716417910446%
conference, 1.0, 0.18656716417910446%
be, 1.0, 0.18656716417910446%
dead, 1.0, 0.18656716417910446%
seen, 1.0, 0.18656716417910446%
moment, 1.0, 0.18656716417910446%
into, 1.0, 0.18656716417910446%
proved, 1.0, 0.18656716417910446%
ripples, 1.0, 0.18656716417910446%
how, 1.0, 0.18656716417910446%
arrived, 1.0, 0.18656716417910446%
golf, 1.0, 0.18656716417910446%
reconnect, 1.0, 0.18656716417910446%
unless, 1.0, 0.18656716417910446%
by, 1.0, 0.18656716417910446%
wednesday, 1.0, 0.18656716417910446%
perspective, 1.0, 0.18656716417910446%
quiet, 1.0, 0.18656716417910446%
so, 1.0, 0.18656716417910446%
close, 1.0, 0.18656716417910446%
st, 1.0, 0.18656716417910446%
e, 1.0, 0.18656716417910446%
launch, 1.0, 0.18656716417910446%
team, 1.0, 0.18656716417910446%
closer, 1.0, 0.18656716417910446%
single, 1.0, 0.18656716417910446%
call, 1.0, 0.18656716417910446%
standing, 1.0, 0.18656716417910446%
component, 1.0, 0.18656716417910446%
june, 1.0, 0.18656716417910446%
t, 1.0, 0.18656716417910446%
planetary, 1.0, 0.18656716417910446%
declare, 1.0, 0.18656716417910446%
astronauts, 1.0, 0.18656716417910446%
willing, 1.0, 0.18656716417910446%
moved, 1.0, 0.18656716417910446%
lethal, 1.0, 0.18656716417910446%
robotic, 1.0, 0.18656716417910446%
down, 1.0, 0.18656716417910446%
dr, 1.0, 0.18656716417910446%
red, 1.0, 0.18656716417910446%
spacecraft, 1.0, 0.18656716417910446%
view, 1.0, 0.18656716417910446%
preserved, 1.0, 0.18656716417910446%
continue, 1.0, 0.18656716417910446%
layers, 1.0, 0.18656716417910446%
jet, 1.0, 0.18656716417910446%
basically, 1.0, 0.18656716417910446%
huge, 1.0, 0.18656716417910446%
reply, 1.0, 0.18656716417910446%
generate, 1.0, 0.18656716417910446%
given, 1.0, 0.18656716417910446%
studying, 1.0, 0.18656716417910446%
marathon, 1.0, 0.18656716417910446%
athlete, 1.0, 0.18656716417910446%
revealing, 1.0, 0.18656716417910446%
finally, 1.0, 0.18656716417910446%
prerequisite, 1.0, 0.18656716417910446%
look, 1.0, 0.18656716417910446%
never, 1.0, 0.18656716417910446%
take, 1.0, 0.18656716417910446%
longer, 1.0, 0.18656716417910446%
month, 1.0, 0.18656716417910446%
laboratory, 1.0, 0.18656716417910446%
once, 1.0, 0.18656716417910446%
success, 1.0, 0.18656716417910446%
final, 1.0, 0.18656716417910446%
therefore, 1.0, 0.18656716417910446%
washington, 1.0, 0.18656716417910446%
cleared, 1.0, 0.18656716417910446%
changed, 1.0, 0.18656716417910446%
deep, 1.0, 0.18656716417910446%
distance, 1.0, 0.18656716417910446%
waiting, 1.0, 0.18656716417910446%
snapping, 1.0, 0.18656716417910446%
provided, 1.0, 0.18656716417910446%
2012, 1.0, 0.18656716417910446%
2010, 1.0, 0.18656716417910446%
capable, 1.0, 0.18656716417910446%
calif, 1.0, 0.18656716417910446%
life, 1.0, 0.18656716417910446%
we, 1.0, 0.18656716417910446%
perhaps, 1.0, 0.18656716417910446%
plains, 1.0, 0.18656716417910446%
now, 1.0, 0.18656716417910446%
end, 1.0, 0.18656716417910446%
lived, 1.0, 0.18656716417910446%
thomas, 1.0, 0.18656716417910446%
passed, 1.0, 0.18656716417910446%
steady, 1.0, 0.18656716417910446%
twin, 1.0, 0.18656716417910446%
news, 1.0, 0.18656716417910446%
over, 1.0, 0.18656716417910446%
raymond, 1.0, 0.18656716417910446%
2020, 1.0, 0.18656716417910446%
grew, 1.0, 0.18656716417910446%
what, 1.0, 0.18656716417910446%
incredibly, 1.0, 0.18656716417910446%
relented, 1.0, 0.18656716417910446%
counted, 1.0, 0.18656716417910446%
tanya, 1.0, 0.18656716417910446%
time, 1.0, 0.18656716417910446%
reach, 1.0, 0.18656716417910446%
quickly, 1.0, 0.18656716417910446%
ago, 1.0, 0.18656716417910446%
fair, 1.0, 0.18656716417910446%
three, 1.0, 0.18656716417910446%
when, 1.0, 0.18656716417910446%
attempt, 1.0, 0.18656716417910446%
cart, 1.0, 0.18656716417910446%
soon, 1.0, 0.18656716417910446%
thick, 1.0, 0.18656716417910446%
odds, 1.0, 0.18656716417910446%
weather, 1.0, 0.18656716417910446%
revive, 1.0, 0.18656716417910446%
presence, 1.0, 0.18656716417910446%
if, 1.0, 0.18656716417910446%
zurbuchen, 1.0, 0.18656716417910446%
promising, 1.0, 0.18656716417910446%
give, 1.0, 0.18656716417910446%
deputy, 1.0, 0.18656716417910446%
encrusted, 1.0, 0.18656716417910446%
made, 1.0, 0.18656716417910446%
work, 1.0, 0.18656716417910446%
distant, 1.0, 0.18656716417910446%
appreciation, 1.0, 0.18656716417910446%
propulsion, 1.0, 0.18656716417910446%
sense, 1.0, 0.18656716417910446%
being, 1.0, 0.18656716417910446%
ever, 1.0, 0.18656716417910446%
itself, 1.0, 0.18656716417910446%
explored, 1.0, 0.18656716417910446%
spot, 1.0, 0.18656716417910446%
larger, 1.0, 0.18656716417910446%
silenced, 1.0, 0.18656716417910446%
longest, 1.0, 0.18656716417910446%
brought, 1.0, 0.18656716417910446%
hoped, 1.0, 0.18656716417910446%
operated, 1.0, 0.18656716417910446%
alien, 1.0, 0.18656716417910446%
summer, 1.0, 0.18656716417910446%
layer, 1.0, 0.18656716417910446%
rock, 1.0, 0.18656716417910446%
across, 1.0, 0.18656716417910446%
fall, 1.0, 0.18656716417910446%
stream, 1.0, 0.18656716417910446%
have, 1.0, 0.18656716417910446%
member, 1.0, 0.18656716417910446%
electronic, 1.0, 0.18656716417910446%
power, 1.0, 0.18656716417910446%
particularly, 1.0, 0.18656716417910446%
explore, 1.0, 0.18656716417910446%
agency, 1.0, 0.18656716417910446%
could, 1.0, 0.18656716417910446%
spirit, 1.0, 0.18656716417910446%
extremes, 1.0, 0.18656716417910446%
places, 1.0, 0.18656716417910446%
century, 1.0, 0.18656716417910446%
arvidson, 1.0, 0.18656716417910446%
complete, 1.0, 0.18656716417910446%
data, 1.0, 0.18656716417910446%
backlash, 1.0, 0.18656716417910446%
several, 1.0, 0.18656716417910446%
feel, 1.0, 0.18656716417910446%
photos, 1.0, 0.18656716417910446%
associate, 1.0, 0.18656716417910446%
space, 1.0, 0.18656716417910446%
fine, 1.0, 0.18656716417910446%
continuous, 1.0, 0.18656716417910446%
only, 1.0, 0.18656716417910446%
quite, 1.0, 0.18656716417910446%
blow, 1.0, 0.18656716417910446%
day, 1.0, 0.18656716417910446%
months, 1.0, 0.18656716417910446%
curiosity, 1.0, 0.18656716417910446%
like, 1.0, 0.18656716417910446%
kind, 1.0, 0.18656716417910446%
less, 1.0, 0.18656716417910446%
streak, 1.0, 0.18656716417910446%
sent, 1.0, 0.18656716417910446%
water, 1.0, 0.18656716417910446%
flowing, 1.0, 0.18656716417910446%
roving, 1.0, 0.18656716417910446%
professor, 1.0, 0.18656716417910446%
keep, 1.0, 0.18656716417910446%
present, 1.0, 0.18656716417910446%
seems, 1.0, 0.18656716417910446%
who, 1.0, 0.18656716417910446%
since, 1.0, 0.18656716417910446%
here, 1.0, 0.18656716417910446%
no, 1.0, 0.18656716417910446%
became, 1.0, 0.18656716417910446%
paradigm, 1.0, 0.18656716417910446%
unexpected, 1.0, 0.18656716417910446%
university, 1.0, 0.18656716417910446%
crucial, 1.0, 0.18656716417910446%
their, 1.0, 0.18656716417910446%
martian, 1.0, 0.18656716417910446%
endurance, 1.0, 0.18656716417910446%
geology, 1.0, 0.18656716417910446%
head, 1.0, 0.18656716417910446%
principal, 1.0, 0.18656716417910446%
can, 1.0, 0.18656716417910446%
administrator, 1.0, 0.18656716417910446%
investigator, 1.0, 0.18656716417910446%
somber, 1.0, 0.18656716417910446%
billion, 1.0, 0.18656716417910446%
walking, 1.0, 0.18656716417910446%
observations, 1.0, 0.18656716417910446%
spend, 1.0, 0.18656716417910446%
louis, 1.0, 0.18656716417910446%
designed, 1.0, 0.18656716417910446%
didn, 1.0, 0.18656716417910446%
chance, 1.0, 0.18656716417910446%
or, 1.0, 0.18656716417910446%
will, 1.0, 0.18656716417910446%
also, 1.0, 0.18656716417910446%
enough, 1.0, 0.18656716417910446%
instead, 1.0, 0.18656716417910446%
pasadena, 1.0, 0.18656716417910446%
tuesday, 1.0, 0.18656716417910446%
gratitude, 1.0, 0.18656716417910446%
earth, 1.0, 0.18656716417910446%
skies, 1.0, 0.18656716417910446%
traveled, 1.0, 0.18656716417910446%
until, 1.0, 0.18656716417910446%
persisted, 1.0, 0.18656716417910446%
landscape, 1.0, 0.18656716417910446%
